Company Name,Ticker,marketCap,fullTimeEmployees,enterpriseToEbitda,bookValue,sharesOutstanding,netIncomeToCommon,regularMarketPrice,website,phone,zipCode
Abraxas Petroleum Corp.,AXAS,,,,,,,,,,
Adams Resources & Energy Inc.,AE,,,,,,,,,,
Amplify Energy Corp.,AMPY,42928408.0,230.0,3.355,0.107,37656500.0,-453737984.0,0.99,http://www.amplifyenergy.com,713 490 8900,77002
Antero Resources Corp.,AR,1179470080.0,520.0,-74.317,21.106,268672000.0,-1819922944.0,4.3,http://www.anteroresources.com,303 357 7310,80202
Apache Corp.,APA,5299791360.0,3163.0,5.977,-4.347,377478016.0,-7846000128.0,13.56,http://www.apachecorp.com,713 296 6000,77056
Approach Resources Inc.,AREXQ,739679.0,99.0,11.437,,93630400.0,-48708000.0,0.007750000000000001,http://www.approachresources.com,817-989-9000,76116
Black Stone Minerals LP,BSM,,,,,,,,,,
Bonanza Creek Energy Inc.,BCEI,507734336.0,125.0,3.1310000000000002,47.18,20834400.0,40045000.0,25.55,http://www.bonanzacrk.com,720 440 6100,80202
Cabot Oil & Gas Corp.,COG,7186397696.0,547.0,11.941,5.315,398580000.0,216263008.0,17.94,http://www.cabotog.com,281 589 4600,77024
California Resources Corp.,CRC,1527250048.0,1100.0,4.6850000000000005,-47.295,0.0,-2024000000.0,16.1,http://www.crc.com,888 848 4754,91355
Callon Petroleum Co.,CPE,402694848.0,475.0,5.607,30.292,39752700.0,-2052093056.0,10.67,http://www.callon.com,281 589 5200,77042
Camber Energy Inc.,CEI,,,,,,,,,,
Centennial Resource Development Inc.,CDEV,354807520.0,195.0,4.374,10.085,278340992.0,-584563968.0,1.21,http://www.cdevinc.com,720 499 1400,80202
Chesapeak Energy Corp.,CHKAQ,,,,,,,,,,
Cimarex Energy Co.,XEC,3958441984.0,747.0,5.83,15.49,102048000.0,-2380322048.0,39.04,http://www.cimarex.com,303-295-3995,80203-4537
Citadel Exploration Inc.,COIL,930165.0,3.0,-7.7059999999999995,-0.194,48956200.0,-4335375.0,0.01615,http://www.citadelexploration.com,949-612-8040,92663
CKX Lands Inc.,CKS,,,,,,,,,,
CNX Resources Corp.,CNX,2243044608.0,467.0,11.066,19.018,224528992.0,-950942016.0,9.75,http://www.cnx.com,724 485 4000,15317-6506
Comstock Resources Inc.,CRK,1189995392.0,207.0,6.389,5.11,232420992.0,-120322000.0,4.8100000000000005,http://www.crkfrisco.com,972 668 8800,75034
Concho Resources Inc.,CXO,12667560960.0,1453.0,5.708,40.032,196304992.0,-10245000192.0,64.04,http://www.concho.com,432 683 7443,79701
ConocoPhillips,COP,47430324224.0,9800.0,8.515,28.696,1068009984.0,-1208999936.0,44.08,http://www.conocophillips.com,281 293 1000,77079-2703
Contango Oil & Gas Co.,MCF,264760032.0,124.0,8.672,-0.161,159494000.0,-278472992.0,1.72,http://www.contango.com,713 236 7400,77002
Continental Resources Inc.,CLR,6391594496.0,1260.0,6.426,17.022,365233984.0,-310425984.0,17.37,http://www.clr.com,405 234 9000,73102
Daybreak Oil & Gas Inc.,DBRM,725892.0,6.0,-12.122,-0.082,60491100.0,-822371.0,0.008,http://daybreakoilandgas.com,509 232 7674,99212
Diamondback Energy Inc.,FANG,7446846976.0,712.0,6.4,60.513,157972992.0,-4264999936.0,46.53,http://www.diamondbackenergy.com,432 221 7400,79701
Dorchester Minerals LP,DMLP,,,,,,,,,,
Earthstone Energy Inc.,ESTE,260228192.0,69.0,4.679,11.627,30210700.0,-7700000.0,3.8,http://www.earthstoneenergy.com,281 298 4246,77380
EOG Resources Inc.,EOG,31747428352.0,2900.0,5.952,34.539,583377984.0,-305516992.0,52.14,http://www.eogresources.com,713 651 7000,77002
EP Energy Corp.,EPEGQ,,,,,,,,,,
EQT Corp.,EQT,4401316352.0,647.0,10.225,34.643,275599008.0,-2207778048.0,15.75,http://www.eqt.com,412-553-5700,15222
ERHC Energy Inc.,ERHE,1439724.0,9.0,-0.186,-0.003,2879439872.0,-11142807.0,0.0006000000000000001,http://www.erhc.com,713-626-4700,77056
Erin Energy Corp.,ERINQ,86108.0,61.0,76.378,-1.69,215271008.0,-151892000.0,0.0014,http://www.erinenergy.com,713-797-2940,77056
Evolution Petroleum Corp.,EPM,94906944.0,4.0,11.445,2.031,32953800.0,-3990896.0,2.81,http://www.evolutionpetroleum.com,713 935 0122,77079
EXCO Resources Inc.,EXCE,21584500.0,153.0,6.373,-47.638,21584500.0,-182696992.0,1.01,http://www.excoresources.com,214-368-2084,75251
Extraction Oil & Gas Inc.,XOGAQ,8288483.0,323.0,1.7429999999999999,,138372000.0,-2207120896.0,0.0548,http://www.extractionog.com,720 557 8300,80202
FieldPoint Petroleum Corp.,FPPP,94955.0,3.0,-7.742,-0.162,10669200.0,-3322434.0,0.0055000000000000005,http://www.fppcorp.com,512-250-8692,78746
Freeport-McMoRan Inc.,FCX,33575827456.0,27500.0,16.954,6.357,1452870016.0,-104000000.0,22.23,http://fcx.com,602-366-8100,85004-2189
Genie Energy Ltd.,GNE,232568736.0,286.0,7.922,3.133,24645400.0,13367000.0,8.9,http://www.genie.com,973-438-3500,07102
Goodrich Petroleum Corp.,GDP,152502400.0,51.0,7.011,4.117,12655800.0,-37192000.0,11.81,http://www.goodrichpetroleum.com,713 780 9494,77002
GulfSlope Energy Inc.,GSPE,6003552.0,7.0,-9.204,0.001,1250739968.0,-5055136.0,0.004,http://www.gulfslope.com,281 918 4100,77010
HighPoint Resources Corp.,HPR,36378264.0,155.0,2.672,-2.971,4305120.0,-1146877056.0,9.72,http://www.hpres.com,303 293 9100,80202
Hess Corp.,HES,16471609344.0,1775.0,13.01,19.393,307076992.0,-3217999872.0,51.59,http://www.hess.com,212 997 8500,10036
Houston American Energy Corp.,HUSA,13257668.0,2.0,-7.855,1.255,6977720.0,-3166675.0,1.71,http://www.houstonamerican.com,713 222 6966,77002
Kimbell Royalty Partners LP,KRP,,,,,,,,,,
Kinder Morgan Inc.,KMI,33888937984.0,11086.0,11.789,13.941,2263790080.0,110000000.0,14.99,http://www.kindermorgan.com,713-369-9000,77002
Kosmos Energy Ltd.,KOS,798746368.0,360.0,9.03,1.05,405455008.0,-455315008.0,2.24,http://www.kosmosenergy.com,214 445 9600,75231
Laredo Petroleum Inc.,LPI,141044656.0,280.0,3.188,12.103,12003800.0,-949961984.0,12.09,http://www.laredopetro.com,918-513-4570,74119
Lilis Energy Inc.,LLEXQ,1901958.0,43.0,18.833,,95097904.0,-359329984.0,0.0158,http://www.lilisenergy.com,817 585 9001,76102
Lonestar Resources US Inc.,LONE,,,,,,,,,,
Marathon Oil Corp.,MRO,5091571712.0,2000.0,5.192,13.787,789390976.0,-1132999936.0,6.5,http://www.marathonoil.com,713 629 6600,77056-2723
Matador Resources Co.,MTDR,1362319360.0,304.0,6.233,11.742,116837000.0,-479732000.0,11.17,http://www.matadorresources.com,972 371 5200,75240
Mexco Energy Corp.,MXC,13665454.0,2.0,22.171,3.948,2051870.0,-304145.0,5.75,http://www.mexcoenergy.com,432 682 1119,79701
Mid-Con Energy Partners LP,MCEP,,,,,,,,,,
Murphy Oil Corp.,MUR,1755636736.0,822.0,4.474,28.278,153599008.0,-1078513024.0,11.3,http://www.murphyoilcorp.com,870 862 6411,71730-7000
National Fuel Gas,NFG,3926075392.0,2162.0,8.656,21.681,90954304.0,-123772000.0,42.66,http://www.nationalfuel.com,716-857-7000,14221
Noble Energy Inc.,NBL,,,,,,,,,,
Oasis Petroleum Inc.,OAS,33841276.0,447.0,25.23,-2.524,0.0,-4535908864.0,33.22,http://www.oasispetroleum.com,281 404 9500,77002
Occidental Petroleum Corp.,OXY,15625688064.0,14400.0,8.164,10.844,931209024.0,-14366000128.0,16.97,http://www.oxy.com,713 215 7000,77046-0521
Parsley Energy Inc.,PE,5742951936.0,496.0,6.632,10.079,378663008.0,-3736546048.0,13.6,http://www.parsleyenergy.com,737 704 2300,78701
PDC Energy Inc.,PDCE,1878170624.0,540.0,4.067,26.283,99637696.0,-738582016.0,18.0,http://www.pdce.com,303 860 5800,80203
PEDEVCO Corp.,PED,103622512.0,16.0,-58.462,1.3559999999999999,72463296.0,-11032000.0,1.43,http://www.pedevco.com,713 221 1768,77079
Penn Virginia Corp.,PVAC,148051888.0,94.0,2.177,22.876,15200400.0,-171735008.0,9.95,http://www.pennvirginia.com,713 722 6500,77084
Petrolia Energy Corp.,BBLS,,,,,,,,,,
Pioneer Natural Resources Co.,PXD,18306719744.0,2323.0,8.419,70.887,164407008.0,173000000.0,108.31,http://www.pxd.com,972 444 9001,75039
QEP Resources Inc.,QEP,428731136.0,248.0,3.136,11.554,242220992.0,23400000.0,1.69,http://www.qepres.com,303-672-6900,80265
Range Resources Corp.,RRC,2048100608.0,655.0,14.115,7.048,256332992.0,-2486107904.0,7.77,http://www.rangeresources.com,817 870 2601,76102
Ring Energy Inc.,REI,54775132.0,58.0,3.992,6.366,81668600.0,-88130856.0,0.7033,http://www.ringenergy.com,432-682-7464,79701
Royale Energy Inc.,ROYL,5427390.0,12.0,-10.561,-0.381,54273900.0,-844296.0,0.091,http://www.royl.com,619 383 6600,92020
SandRidge Energy Inc.,SD,104910928.0,270.0,1.385,3.5869999999999997,35928400.0,-526340000.0,2.98,http://www.sandridgeenergy.com,405 429 5500,73102
SilverBow Resources Inc.,SBOW,76036776.0,86.0,3.079,6.752,11936700.0,-312481984.0,6.38,http://www.sbow.com,281 874 2700,77079
SM Energy Co.,SM,527035776.0,530.0,3.277,19.072,114573000.0,-701494016.0,4.54,http://www.sm-energy.com,303 861 8140,80203
Southwestern Energy Co.,SWN,2259310336.0,923.0,10.346,0.635,674420992.0,-2910000128.0,3.21,http://www.swn.com,832-796-1000,77389
Spindletop Oil & Gas Co.,SPND,16297209.0,20.0,-10.5,2.343,6755320.0,-949000.0,2.4,http://www.spindletopoil.com,972 644 2581,75230
Tengasco Inc.,TGC,13676032.0,12.0,-8.46,0.418,10684400.0,-2061000.0,1.31,http://www.tengasco.com,720 420 4460,80111
Tiger Oil and Energy Inc.,TGRO,,,,,,,,,,
Titan Energy LLC,TTEN,,,,,,,,,,
Torchlight Energy Resources Inc.,TRCH,33379802.0,4.0,-16.705,0.158,99641200.0,-13897315.0,0.32,http://www.torchlightenergy.com,214 432 8002,75093
Transatlantic Petroleum Ltd.,TAT,17416616.0,147.0,3.245,-0.255,76335600.0,-37183000.0,0.275,http://www.transatlanticpetroleum.com,214 220 4323,75001
Unit Corp.,UCPLF,,,,,,,,,,
U.S. Energy Corp.,USEG,12274887.0,2.0,-8.127,3.114,2915650.0,-6383000.0,4.0,http://www.usnrg.com,303 993 3200,77057
Vaalco Energy Inc.,EGY,93653440.0,111.0,2.572,1.126,57456100.0,-43500000.0,1.6400000000000001,http://www.vaalco.com,713 623 0801,77042
Viper Energy Partners LP,VNOM,,,,,,,,,,
W&T Offshore Inc.,WTI,338849440.0,291.0,5.32,-1.409,141778000.0,55648000.0,2.2,http://www.wtoffshore.com,713 626 8525,77046-0908
West Texas Resources Inc.,WTXR,1708390.0,1.0,-9.209,0.002,17083900.0,-364371.0,0.184,http://www.westtexasresources.com,972-712-2154,75034
Whiting Petroleum Corp.,WLL,822666944.0,505.0,2.303,32.311,38051200.0,-4072677888.0,21.82,http://www.whiting.com,303 837 1661,80203-4547
WPX Energy Inc.,WPX,4409782272.0,590.0,6.425,8.086,561020032.0,-891000000.0,7.65,http://www.wpxenergy.com,855 979 2012,74172-0172
Yuma Energy Inc.,YUMAQ,51060.0,22.0,-10.374,,1551990.0,-25649636.0,0.0898,http://www.yumaenergyinc.com,713-968-7068,77027
Zion Oil & Gas Inc.,ZNOG,204144608.0,20.0,-27.267,,234622000.0,-6919000.0,0.8300000000000001,http://www.zionoil.com,214 221 4610,75243
